line_item_id;costs;actions;date
37494;0.0000;34.0000;20160912
37651;3511.3700;16644.0000;20160912
37662;217558.2000;49152.0000;20160912
-99;0.0000;3743727950.2970;20160913
37447;0.0000;1410.0000;20160913
37448;0.0000;993.0000;20160913
37449;0.0000;159963.0000;20160913
37450;460361.8500;70869.0000;20160913
37451;460117.8000;83082.0000;20160913
37452;3869551.6300;826155.0000;20160913
37455;0.0000;556464.0000;20160913
37456;0.0000;0.0000;20160913
37457;0.0000;1182.0000;20160913
37458;0.0000;6904.0000;20160913
37459;0.0000;5472.0000;20160913
37460;910300.7340;369402.0000;20160913
37461;582780.4672;698712.0000;20160913
37463;0.0000;5673.0000;20160913
37464;0.0000;1573548.0000;20160913
37465;0.0000;442048.0000;20160913
37466;0.0000;774.0000;20160913
37467;0.0000;53199.0000;20160913
37468;0.0000;44.0000;20160913
37469;0.0000;74262.0000;20160913
37470;0.0000;78615.0000;20160913
37472;0.0000;258.0000;20160913
37473;0.0000;0.0000;20160913
37474;48346.1200;190698.0000;20160913
37475;36707.8100;69735.0000;20160913
37476;1377399.6500;209304.0000;20160913
37477;0.0000;17352.0000;20160913
37478;1344062.6000;253365.0000;20160913
37479;0.0000;5628.0000;20160913
37480;0.0000;2126.0000;20160913
37481;0.0000;90.0000;20160913
37482;0.0000;35778.0000;20160913
37483;0.0000;5924.0000;20160913
37484;0.0000;0.0000;20160913
37485;0.0000;0.0000;20160913
37486;0.0000;8.0000;20160913
37487;3936.2400;675.0000;20160913
37488;0.0000;10.0000;20160913
37489;0.0000;1.0000;20160913
37490;0.0000;4173.0000;20160913
37491;0.0000;12388.0000;20160913
37492;66282.3000;145584.0000;20160913
37493;0.0000;933.0000;20160913
37494;0.0000;34.0000;20160913
37651;4137.9700;16644.0000;20160913
37662;207112.6800;49152.0000;20160913
-99;0.0000;3743727950.2970;20160914
37447;0.0000;1410.0000;20160914
37448;0.0000;993.0000;20160914
37449;0.0000;159963.0000;20160914
37450;414305.7100;70869.0000;20160914
37451;452236.5000;83082.0000;20160914
37452;3705819.1800;826155.0000;20160914
37455;0.0000;556464.0000;20160914
37456;0.0000;0.0000;20160914
37457;0.0000;1182.0000;20160914
37458;0.0000;6904.0000;20160914
37459;0.0000;5472.0000;20160914
37460;838904.5980;369402.0000;20160914
37461;732343.4160;698712.0000;20160914
37463;0.0000;5673.0000;20160914
37464;0.0000;1573548.0000;20160914
37465;0.0000;442048.0000;20160914
37466;0.0000;774.0000;20160914
37467;0.0000;53199.0000;20160914
37468;0.0000;44.0000;20160914
37469;0.0000;74262.0000;20160914
37470;0.0000;78615.0000;20160914
37472;0.0000;258.0000;20160914
37473;0.0000;0.0000;20160914
37474;65170.2000;190698.0000;20160914
37475;4762.5800;69735.0000;20160914
37476;1298447.4800;209304.0000;20160914
37477;0.0000;17352.0000;20160914
37478;1342474.9600;253365.0000;20160914
37479;0.0000;5628.0000;20160914
37480;0.0000;2126.0000;20160914
37481;0.0000;90.0000;20160914
37482;0.0000;35778.0000;20160914
37483;0.0000;8886.0000;20160914
37484;0.0000;0.0000;20160914
37485;0.0000;0.0000;20160914
37486;0.0000;8.0000;20160914
37487;0.0000;450.0000;20160914
37488;0.0000;5.0000;20160914
37489;0.0000;1.0000;20160914
37490;0.0000;4173.0000;20160914
37491;0.0000;12388.0000;20160914
37492;79615.2000;145584.0000;20160914
37493;0.0000;933.0000;20160914
37494;0.0000;34.0000;20160914
37651;2691.9700;16644.0000;20160914
37662;198503.2200;49152.0000;20160914
-99;0.0000;3743727950.2970;20160915
37447;0.0000;1410.0000;20160915
37448;0.0000;993.0000;20160915
37449;0.0000;159963.0000;20160915
37450;347935.3800;70869.0000;20160915
37451;397555.2900;83082.0000;20160915
37452;3479786.1700;826155.0000;20160915
37455;0.0000;556464.0000;20160915
37456;0.0000;0.0000;20160915
37457;0.0000;1773.0000;20160915
37458;0.0000;6904.0000;20160915
37459;25845.3267;5472.0000;20160915
37460;196339.3740;369402.0000;20160915
37461;598252.3680;698712.0000;20160915
37463;0.0000;5673.0000;20160915
37464;0.0000;1049032.0000;20160915
37465;0.0000;663072.0000;20160915
37466;0.0000;774.0000;20160915
37467;0.0000;53199.0000;20160915
37468;0.0000;44.0000;20160915
37469;0.0000;74262.0000;20160915
37470;0.0000;78615.0000;20160915
37472;0.0000;258.0000;20160915
37473;0.0000;0.0000;20160915
37474;45896.4600;190698.0000;20160915
37475;9839.6700;69735.0000;20160915
37476;1260054.5100;209304.0000;20160915
37477;0.0000;17352.0000;20160915
37478;1943730.9400;253365.0000;20160915
37479;0.0000;5628.0000;20160915
37480;0.0000;2126.0000;20160915
37481;0.0000;90.0000;20160915
37482;0.0000;35778.0000;20160915
37483;0.0000;8886.0000;20160915
37484;0.0000;0.0000;20160915
37485;0.0000;0.0000;20160915
37486;0.0000;8.0000;20160915
37487;5674.3200;675.0000;20160915
37488;0.0000;10.0000;20160915
37489;0.0000;1.0000;20160915
37490;0.0000;4173.0000;20160915
37491;86018.4955;18582.0000;20160915
37492;65003.4000;145584.0000;20160915
37493;0.0000;933.0000;20160915
37494;0.0000;34.0000;20160915
37651;3841.5400;16644.0000;20160915
37662;210299.1600;49152.0000;20160915
-99;0.0000;3743727950.2970;20160916
37447;0.0000;1410.0000;20160916
37448;0.0000;993.0000;20160916
37449;0.0000;159963.0000;20160916
37450;653965.2600;70869.0000;20160916
37451;463457.9700;83082.0000;20160916
37452;5189568.9300;826155.0000;20160916
37455;0.0000;556464.0000;20160916
37456;0.0000;0.0000;20160916
