"costs";"clicks";"visits";"sql_date";"strategy_id"
0.0000;0;0;"2017-02-23";6314
0.0000;0;0;"2017-02-23";6313
0.0000;0;0;"2017-02-23";6312
0.0000;0;0;"2017-02-23";6311
0.0000;0;0;"2017-02-23";6308
0.0000;0;0;"2017-02-23";5687
0.0000;0;0;"2017-02-23";4307
0.0000;0;0;"2017-02-23";3568
0.0000;0;0;"2017-02-23";3566
0.0000;0;0;"2017-02-23";3565
0.0000;0;0;"2017-02-23";2902
0.0000;0;0;"2017-02-23";2766
0.0000;0;0;"2017-02-23";2763
0.0000;0;0;"2017-02-23";2561
0.0000;0;0;"2017-02-23";2560
0.0000;0;0;"2017-02-23";2559
0.0000;0;0;"2017-02-23";2233
0.0000;0;0;"2017-02-23";2231
0.0000;0;0;"2017-02-23";752
0.0000;0;0;"2017-02-23";751
0.0000;0;0;"2017-02-23";744
0.0000;0;0;"2017-02-23";260
0.0000;0;0;"2017-02-23";210
0.0000;0;0;"2017-02-23";-5
91.4886;0;0;"2017-02-23";-6
0.0000;0;0;"2017-02-23";-7
0.0000;0;0;"2017-02-22";8398
0.0000;0;0;"2017-02-22";8005
0.0000;0;0;"2017-02-22";7487
125.9643;0;0;"2017-02-22";6957
0.0000;0;0;"2017-02-22";6945
0.0000;0;0;"2017-02-22";6944
143.1000;0;0;"2017-02-22";6788
0.0000;0;0;"2017-02-22";6734
424.7971;0;0;"2017-02-22";6718
108.2143;0;0;"2017-02-22";6579
0.0000;0;0;"2017-02-22";6413
0.0000;0;0;"2017-02-22";6412
0.0000;0;0;"2017-02-22";6411
0.0000;0;0;"2017-02-22";6317
0.0000;0;0;"2017-02-22";6316
0.0000;0;0;"2017-02-22";6315
0.0000;0;0;"2017-02-22";6314
0.0000;0;0;"2017-02-22";6313
0.0000;0;0;"2017-02-22";6312
0.0000;0;0;"2017-02-22";6311
0.0000;0;0;"2017-02-22";6308
0.0000;0;0;"2017-02-22";5687
0.0000;0;0;"2017-02-22";4307
0.0000;0;0;"2017-02-22";3568
0.0000;0;0;"2017-02-22";3566
0.0000;0;0;"2017-02-22";3565
0.0000;0;0;"2017-02-22";2902
0.0000;0;0;"2017-02-22";2766
0.0000;0;0;"2017-02-22";2763
0.0000;0;0;"2017-02-22";2561
0.0000;0;0;"2017-02-22";2560
0.0000;0;0;"2017-02-22";2559
0.0000;0;0;"2017-02-22";2233
0.0000;0;0;"2017-02-22";2231
0.0000;0;0;"2017-02-22";752
0.0000;0;0;"2017-02-22";751
0.0000;0;0;"2017-02-22";744
0.0000;0;0;"2017-02-22";260
0.0000;0;0;"2017-02-22";210
0.0000;0;0;"2017-02-22";-5
91.4886;0;0;"2017-02-22";-6
0.0000;0;0;"2017-02-22";-7
0.0000;0;0;"2017-02-21";8398
0.0000;0;0;"2017-02-21";8005
0.0000;0;0;"2017-02-21";7487
125.9643;0;0;"2017-02-21";6957
0.0000;0;0;"2017-02-21";6945
0.0000;0;0;"2017-02-21";6944
143.1000;0;0;"2017-02-21";6788
0.0000;0;0;"2017-02-21";6734
424.7971;0;0;"2017-02-21";6718
108.2143;0;0;"2017-02-21";6579
0.0000;0;0;"2017-02-21";6413
0.0000;0;0;"2017-02-21";6412
0.0000;0;0;"2017-02-21";6411
0.0000;0;0;"2017-02-21";6317
0.0000;0;0;"2017-02-21";6316
0.0000;0;0;"2017-02-21";6315
0.0000;0;0;"2017-02-21";6314
0.0000;0;0;"2017-02-21";6313
0.0000;0;0;"2017-02-21";6312
0.0000;0;0;"2017-02-21";6311
0.0000;0;0;"2017-02-21";6308
0.0000;0;0;"2017-02-21";5687
0.0000;0;0;"2017-02-21";4307
0.0000;0;0;"2017-02-21";3568
